,A,B
0,반포자이의 입주년도는 언제야?,MATCH (n {name:’반포자이’}) RETURN n.moveInYear
1,아크로리버파크의 입주년도는 언제야?,MATCH (n {name:’아크로리버파크’}) RETURN n.moveInYear
2,래미안퍼스티지의 입주년도는 언제야?,MATCH (n {name:’래미안퍼스티지’}) RETURN n.moveInYear
3,신반포2차의 입주년도는 언제야?,MATCH (n {name:’신반포2차’}) RETURN n.moveInYear
4,서초그랑자이의 입주년도는 언제야?,MATCH (n {name:’서초그랑자이’}) RETURN n.moveInYear
5,신반포4차의 입주년도는 언제야?,MATCH (n {name:’신반포4차’}) RETURN n.moveInYear
6,반포리체의 입주년도는 언제야?,MATCH (n {name:’반포리체’}) RETURN n.moveInYear
7,래미안리더스원의 입주년도는 언제야?,MATCH (n {name:’래미안리더스원’}) RETURN n.moveInYear
8,삼풍의 입주년도는 언제야?,MATCH (n {name:’삼풍’}) RETURN n.moveInYear
9,반포주공1단지의 입주년도는 언제야?,MATCH (n {name:’반포주공1단지’}) RETURN n.moveInYear
10,반포미도1차의 입주년도는 언제야?,MATCH (n {name:’반포미도1차’}) RETURN n.moveInYear
11,서초힐스의 입주년도는 언제야?,MATCH (n {name:’서초힐스’}) RETURN n.moveInYear
12,서초래미안의 입주년도는 언제야?,MATCH (n {name:’서초래미안’}) RETURN n.moveInYear
13,서초더샵포레의 입주년도는 언제야?,MATCH (n {name:’서초더샵포레’}) RETURN n.moveInYear
14,서초포레스타2단지의 입주년도는 언제야?,MATCH (n {name:’서초포레스타2단지’}) RETURN n.moveInYear
15,서초네이처힐3단지의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐3단지’}) RETURN n.moveInYear
16,래미안원베일리의 입주년도는 언제야?,MATCH (n {name:’래미안원베일리’}) RETURN n.moveInYear
17,반포래미안아이파크의 입주년도는 언제야?,MATCH (n {name:’반포래미안아이파크’}) RETURN n.moveInYear
18,반포센트럴자이의 입주년도는 언제야?,MATCH (n {name:’반포센트럴자이’}) RETURN n.moveInYear
19,동아의 입주년도는 언제야?,MATCH (n {name:’동아’}) RETURN n.moveInYear
20,서초푸르지오써밋의 입주년도는 언제야?,MATCH (n {name:’서초푸르지오써밋’}) RETURN n.moveInYear
21,방배그랑자이의 입주년도는 언제야?,MATCH (n {name:’방배그랑자이’}) RETURN n.moveInYear
22,반포써밋의 입주년도는 언제야?,MATCH (n {name:’반포써밋’}) RETURN n.moveInYear
23,아크로리버뷰신반포의 입주년도는 언제야?,MATCH (n {name:’아크로리버뷰신반포’}) RETURN n.moveInYear
24,롯데캐슬클래식의 입주년도는 언제야?,MATCH (n {name:’롯데캐슬클래식’}) RETURN n.moveInYear
25,아크로비스타의 입주년도는 언제야?,MATCH (n {name:’아크로비스타’}) RETURN n.moveInYear
26,신반포자이의 입주년도는 언제야?,MATCH (n {name:’신반포자이’}) RETURN n.moveInYear
27,디에이치라클라스의 입주년도는 언제야?,MATCH (n {name:’디에이치라클라스’}) RETURN n.moveInYear
28,유원서초의 입주년도는 언제야?,MATCH (n {name:’유원서초’}) RETURN n.moveInYear
29,래미안서초에스티지S의 입주년도는 언제야?,MATCH (n {name:’래미안서초에스티지S’}) RETURN n.moveInYear
30,신동아1차의 입주년도는 언제야?,MATCH (n {name:’신동아1차’}) RETURN n.moveInYear
31,양재우성의 입주년도는 언제야?,MATCH (n {name:’양재우성’}) RETURN n.moveInYear
32,잠원한신의 입주년도는 언제야?,MATCH (n {name:’잠원한신’}) RETURN n.moveInYear
33,서초호반써밋의 입주년도는 언제야?,MATCH (n {name:’서초호반써밋’}) RETURN n.moveInYear
34,래미안신반포팰리스의 입주년도는 언제야?,MATCH (n {name:’래미안신반포팰리스’}) RETURN n.moveInYear
35,방배롯데캐슬아르떼의 입주년도는 언제야?,MATCH (n {name:’방배롯데캐슬아르떼’}) RETURN n.moveInYear
36,방배현대홈타운1차의 입주년도는 언제야?,MATCH (n {name:’방배현대홈타운1차’}) RETURN n.moveInYear
37,진흥의 입주년도는 언제야?,MATCH (n {name:’진흥’}) RETURN n.moveInYear
38,방배래미안아트힐의 입주년도는 언제야?,MATCH (n {name:’방배래미안아트힐’}) RETURN n.moveInYear
39,현대슈퍼빌의 입주년도는 언제야?,MATCH (n {name:’현대슈퍼빌’}) RETURN n.moveInYear
40,서초포레스타6단지의 입주년도는 언제야?,MATCH (n {name:’서초포레스타6단지’}) RETURN n.moveInYear
41,서초포레스타5단지의 입주년도는 언제야?,MATCH (n {name:’서초포레스타5단지’}) RETURN n.moveInYear
42,신반포10차의 입주년도는 언제야?,MATCH (n {name:’신반포10차’}) RETURN n.moveInYear
43,신반포8차의 입주년도는 언제야?,MATCH (n {name:’신반포8차’}) RETURN n.moveInYear
44,반포르엘의 입주년도는 언제야?,MATCH (n {name:’반포르엘’}) RETURN n.moveInYear
45,래미안서초스위트의 입주년도는 언제야?,MATCH (n {name:’래미안서초스위트’}) RETURN n.moveInYear
46,서초교대e편한세상의 입주년도는 언제야?,MATCH (n {name:’서초교대e편한세상’}) RETURN n.moveInYear
47,래미안서초에스티지의 입주년도는 언제야?,MATCH (n {name:’래미안서초에스티지’}) RETURN n.moveInYear
48,반포힐스테이트의 입주년도는 언제야?,MATCH (n {name:’반포힐스테이트’}) RETURN n.moveInYear
49,강변의 입주년도는 언제야?,MATCH (n {name:’강변’}) RETURN n.moveInYear
50,LH서초5단지의 입주년도는 언제야?,MATCH (n {name:’LH서초5단지’}) RETURN n.moveInYear
51,우성5차의 입주년도는 언제야?,MATCH (n {name:’우성5차’}) RETURN n.moveInYear
52,신반포12차의 입주년도는 언제야?,MATCH (n {name:’신반포12차’}) RETURN n.moveInYear
53,신반포청구의 입주년도는 언제야?,MATCH (n {name:’신반포청구’}) RETURN n.moveInYear
54,신반포16차의 입주년도는 언제야?,MATCH (n {name:’신반포16차’}) RETURN n.moveInYear
55,방배아트자이의 입주년도는 언제야?,MATCH (n {name:’방배아트자이’}) RETURN n.moveInYear
56,방배현대홈타운2차의 입주년도는 언제야?,MATCH (n {name:’방배현대홈타운2차’}) RETURN n.moveInYear
57,서초LH4단지의 입주년도는 언제야?,MATCH (n {name:’서초LH4단지’}) RETURN n.moveInYear
58,삼성쉐르빌II의 입주년도는 언제야?,MATCH (n {name:’삼성쉐르빌II’}) RETURN n.moveInYear
59,서초포레스타3단지의 입주년도는 언제야?,MATCH (n {name:’서초포레스타3단지’}) RETURN n.moveInYear
60,롯데캐슬갤럭시2차의 입주년도는 언제야?,MATCH (n {name:’롯데캐슬갤럭시2차’}) RETURN n.moveInYear
61,더샵서초의 입주년도는 언제야?,MATCH (n {name:’더샵서초’}) RETURN n.moveInYear
62,래미안신반포리오센트의 입주년도는 언제야?,MATCH (n {name:’래미안신반포리오센트’}) RETURN n.moveInYear
63,래미안서초유니빌의 입주년도는 언제야?,MATCH (n {name:’래미안서초유니빌’}) RETURN n.moveInYear
64,서초센트럴아이파크의 입주년도는 언제야?,MATCH (n {name:’서초센트럴아이파크’}) RETURN n.moveInYear
65,반포미도2차의 입주년도는 언제야?,MATCH (n {name:’반포미도2차’}) RETURN n.moveInYear
66,방배대우디오빌의 입주년도는 언제야?,MATCH (n {name:’방배대우디오빌’}) RETURN n.moveInYear
67,한강의 입주년도는 언제야?,MATCH (n {name:’한강’}) RETURN n.moveInYear
68,방배서리풀e-편한세상의 입주년도는 언제야?,MATCH (n {name:’방배서리풀e-편한세상’}) RETURN n.moveInYear
69,삼호1차의 입주년도는 언제야?,MATCH (n {name:’삼호1차’}) RETURN n.moveInYear
70,롯데캐슬헤론의 입주년도는 언제야?,MATCH (n {name:’롯데캐슬헤론’}) RETURN n.moveInYear
71,현대의 입주년도는 언제야?,MATCH (n {name:’현대’}) RETURN n.moveInYear
72,대림의 입주년도는 언제야?,MATCH (n {name:’대림’}) RETURN n.moveInYear
73,한신서래의 입주년도는 언제야?,MATCH (n {name:’한신서래’}) RETURN n.moveInYear
74,방배우성의 입주년도는 언제야?,MATCH (n {name:’방배우성’}) RETURN n.moveInYear
75,동고의 입주년도는 언제야?,MATCH (n {name:’동고’}) RETURN n.moveInYear
76,신반포7차의 입주년도는 언제야?,MATCH (n {name:’신반포7차’}) RETURN n.moveInYear
77,서초네이처힐6단지의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐6단지’}) RETURN n.moveInYear
78,서초이오빌의 입주년도는 언제야?,MATCH (n {name:’서초이오빌’}) RETURN n.moveInYear
79,삼호4차의 입주년도는 언제야?,MATCH (n {name:’삼호4차’}) RETURN n.moveInYear
80,임광3차의 입주년도는 언제야?,MATCH (n {name:’임광3차’}) RETURN n.moveInYear
81,"임광1,2차의 입주년도는 언제야?","MATCH (n {name:’임광1,2차’}) RETURN n.moveInYear"
82,방배래미안의 입주년도는 언제야?,MATCH (n {name:’방배래미안’}) RETURN n.moveInYear
83,방배래미안타워의 입주년도는 언제야?,MATCH (n {name:’방배래미안타워’}) RETURN n.moveInYear
84,대우효령의 입주년도는 언제야?,MATCH (n {name:’대우효령’}) RETURN n.moveInYear
85,삼익의 입주년도는 언제야?,MATCH (n {name:’삼익’}) RETURN n.moveInYear
86,신동아의 입주년도는 언제야?,MATCH (n {name:’신동아’}) RETURN n.moveInYear
87,서초네이처힐4단지의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐4단지’}) RETURN n.moveInYear
88,신반포11차의 입주년도는 언제야?,MATCH (n {name:’신반포11차’}) RETURN n.moveInYear
89,서초포레스타7단지의 입주년도는 언제야?,MATCH (n {name:’서초포레스타7단지’}) RETURN n.moveInYear
90,블루힐하우스의 입주년도는 언제야?,MATCH (n {name:’블루힐하우스’}) RETURN n.moveInYear
91,서초롯데캐슬프레지던트의 입주년도는 언제야?,MATCH (n {name:’서초롯데캐슬프레지던트’}) RETURN n.moveInYear
92,아남의 입주년도는 언제야?,MATCH (n {name:’아남’}) RETURN n.moveInYear
93,반포센트레빌아스테리움의 입주년도는 언제야?,MATCH (n {name:’반포센트레빌아스테리움’}) RETURN n.moveInYear
94,신반포19차의 입주년도는 언제야?,MATCH (n {name:’신반포19차’}) RETURN n.moveInYear
95,서초현대의 입주년도는 언제야?,MATCH (n {name:’서초현대’}) RETURN n.moveInYear
96,잠원현대훼밀리의 입주년도는 언제야?,MATCH (n {name:’잠원현대훼밀리’}) RETURN n.moveInYear
97,서초한신의 입주년도는 언제야?,MATCH (n {name:’서초한신’}) RETURN n.moveInYear
98,한신로얄의 입주년도는 언제야?,MATCH (n {name:’한신로얄’}) RETURN n.moveInYear
99,한신타운의 입주년도는 언제야?,MATCH (n {name:’한신타운’}) RETURN n.moveInYear
100,코오롱의 입주년도는 언제야?,MATCH (n {name:’코오롱’}) RETURN n.moveInYear
101,우면한라의 입주년도는 언제야?,MATCH (n {name:’우면한라’}) RETURN n.moveInYear
102,반포한신타워의 입주년도는 언제야?,MATCH (n {name:’반포한신타워’}) RETURN n.moveInYear
103,서초e-편한세상1차의 입주년도는 언제야?,MATCH (n {name:’서초e-편한세상1차’}) RETURN n.moveInYear
104,킴스빌리지의 입주년도는 언제야?,MATCH (n {name:’킴스빌리지’}) RETURN n.moveInYear
105,서초리시온의 입주년도는 언제야?,MATCH (n {name:’서초리시온’}) RETURN n.moveInYear
106,롯데캐슬갤럭시1차의 입주년도는 언제야?,MATCH (n {name:’롯데캐슬갤럭시1차’}) RETURN n.moveInYear
107,서초롯데캐슬리버티의 입주년도는 언제야?,MATCH (n {name:’서초롯데캐슬리버티’}) RETURN n.moveInYear
108,현대ESA의 입주년도는 언제야?,MATCH (n {name:’현대ESA’}) RETURN n.moveInYear
109,신화의 입주년도는 언제야?,MATCH (n {name:’신화’}) RETURN n.moveInYear
110,금호베스트빌의 입주년도는 언제야?,MATCH (n {name:’금호베스트빌’}) RETURN n.moveInYear
111,삼성서초가든스위트의 입주년도는 언제야?,MATCH (n {name:’삼성서초가든스위트’}) RETURN n.moveInYear
112,서초네이처힐7단지의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐7단지’}) RETURN n.moveInYear
113,신반포27차의 입주년도는 언제야?,MATCH (n {name:’신반포27차’}) RETURN n.moveInYear
114,서초현대4차의 입주년도는 언제야?,MATCH (n {name:’서초현대4차’}) RETURN n.moveInYear
115,현대성우의 입주년도는 언제야?,MATCH (n {name:’현대성우’}) RETURN n.moveInYear
116,서초대우디오빌프라임의 입주년도는 언제야?,MATCH (n {name:’서초대우디오빌프라임’}) RETURN n.moveInYear
117,힐스테이트서초젠트리스의 입주년도는 언제야?,MATCH (n {name:’힐스테이트서초젠트리스’}) RETURN n.moveInYear
118,서초삼성래미안의 입주년도는 언제야?,MATCH (n {name:’서초삼성래미안’}) RETURN n.moveInYear
119,반포푸르지오의 입주년도는 언제야?,MATCH (n {name:’반포푸르지오’}) RETURN n.moveInYear
120,서초트라팰리스의 입주년도는 언제야?,MATCH (n {name:’서초트라팰리스’}) RETURN n.moveInYear
121,방배아크로타워의 입주년도는 언제야?,MATCH (n {name:’방배아크로타워’}) RETURN n.moveInYear
122,잠원중앙하이츠(B동)의 입주년도는 언제야?,MATCH (n {name:’잠원중앙하이츠(B동)’}) RETURN n.moveInYear
123,방배아크로리버의 입주년도는 언제야?,MATCH (n {name:’방배아크로리버’}) RETURN n.moveInYear
124,방배e-편한세상3차의 입주년도는 언제야?,MATCH (n {name:’방배e-편한세상3차’}) RETURN n.moveInYear
125,신동아2차의 입주년도는 언제야?,MATCH (n {name:’신동아2차’}) RETURN n.moveInYear
126,서초자이의 입주년도는 언제야?,MATCH (n {name:’서초자이’}) RETURN n.moveInYear
127,강남역푸르지오시티(도시형)의 입주년도는 언제야?,MATCH (n {name:’강남역푸르지오시티(도시형)’}) RETURN n.moveInYear
128,현대동궁의 입주년도는 언제야?,MATCH (n {name:’현대동궁’}) RETURN n.moveInYear
129,삼호한숲의 입주년도는 언제야?,MATCH (n {name:’삼호한숲’}) RETURN n.moveInYear
130,동원베네스트의 입주년도는 언제야?,MATCH (n {name:’동원베네스트’}) RETURN n.moveInYear
131,신반포궁전의 입주년도는 언제야?,MATCH (n {name:’신반포궁전’}) RETURN n.moveInYear
132,신반포25차의 입주년도는 언제야?,MATCH (n {name:’신반포25차’}) RETURN n.moveInYear
133,풍림아이원플러스의 입주년도는 언제야?,MATCH (n {name:’풍림아이원플러스’}) RETURN n.moveInYear
134,서초네이처힐1단지의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐1단지’}) RETURN n.moveInYear
135,양재우성KBS(113동)의 입주년도는 언제야?,MATCH (n {name:’양재우성KBS(113동)’}) RETURN n.moveInYear
136,잠원한신그린의 입주년도는 언제야?,MATCH (n {name:’잠원한신그린’}) RETURN n.moveInYear
137,삼호2차의 입주년도는 언제야?,MATCH (n {name:’삼호2차’}) RETURN n.moveInYear
138,서초한빛삼성의 입주년도는 언제야?,MATCH (n {name:’서초한빛삼성’}) RETURN n.moveInYear
139,밀라텔쉐르빌(엠쉐르빌)의 입주년도는 언제야?,MATCH (n {name:’밀라텔쉐르빌(엠쉐르빌)’}) RETURN n.moveInYear
140,서초아트자이의 입주년도는 언제야?,MATCH (n {name:’서초아트자이’}) RETURN n.moveInYear
141,엠브이의 입주년도는 언제야?,MATCH (n {name:’엠브이’}) RETURN n.moveInYear
142,잠원훼미리의 입주년도는 언제야?,MATCH (n {name:’잠원훼미리’}) RETURN n.moveInYear
143,방배브라운스톤의 입주년도는 언제야?,MATCH (n {name:’방배브라운스톤’}) RETURN n.moveInYear
144,한라비발디스튜디오193(도시형)의 입주년도는 언제야?,MATCH (n {name:’한라비발디스튜디오193(도시형)’}) RETURN n.moveInYear
145,방배마에스트로의 입주년도는 언제야?,MATCH (n {name:’방배마에스트로’}) RETURN n.moveInYear
146,롯데캐슬주피터의 입주년도는 언제야?,MATCH (n {name:’롯데캐슬주피터’}) RETURN n.moveInYear
147,잠원현대의 입주년도는 언제야?,MATCH (n {name:’잠원현대’}) RETURN n.moveInYear
148,방배e-편한세상1차의 입주년도는 언제야?,MATCH (n {name:’방배e-편한세상1차’}) RETURN n.moveInYear
149,방배롯데캐슬로제의 입주년도는 언제야?,MATCH (n {name:’방배롯데캐슬로제’}) RETURN n.moveInYear
150,쌍용예가클래식의 입주년도는 언제야?,MATCH (n {name:’쌍용예가클래식’}) RETURN n.moveInYear
151,삼호가든맨션5차의 입주년도는 언제야?,MATCH (n {name:’삼호가든맨션5차’}) RETURN n.moveInYear
152,신반포18차(337동)의 입주년도는 언제야?,MATCH (n {name:’신반포18차(337동)’}) RETURN n.moveInYear
153,잠원대우아이빌의 입주년도는 언제야?,MATCH (n {name:’잠원대우아이빌’}) RETURN n.moveInYear
154,서초한신리빙타워의 입주년도는 언제야?,MATCH (n {name:’서초한신리빙타워’}) RETURN n.moveInYear
155,삼환나띠르빌의 입주년도는 언제야?,MATCH (n {name:’삼환나띠르빌’}) RETURN n.moveInYear
156,서초e-편한세상2차의 입주년도는 언제야?,MATCH (n {name:’서초e-편한세상2차’}) RETURN n.moveInYear
157,서초쌍용플래티넘의 입주년도는 언제야?,MATCH (n {name:’서초쌍용플래티넘’}) RETURN n.moveInYear
158,현대ESA2의 입주년도는 언제야?,MATCH (n {name:’현대ESA2’}) RETURN n.moveInYear
159,서초네이처힐2단지의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐2단지’}) RETURN n.moveInYear
160,신반포22차의 입주년도는 언제야?,MATCH (n {name:’신반포22차’}) RETURN n.moveInYear
161,신반포9차의 입주년도는 언제야?,MATCH (n {name:’신반포9차’}) RETURN n.moveInYear
162,신영체르니의 입주년도는 언제야?,MATCH (n {name:’신영체르니’}) RETURN n.moveInYear
