,A,B
0,반포자이 아파트의 입주년도는 언제야?,MATCH (n {name:’반포자이'}) RETURN n.moveInYear
1,아크로리버파크 아파트의 입주년도는 언제야?,MATCH (n {name:’아크로리버파크'}) RETURN n.moveInYear
2,래미안퍼스티지 아파트의 입주년도는 언제야?,MATCH (n {name:’래미안퍼스티지'}) RETURN n.moveInYear
3,신반포2차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포2차'}) RETURN n.moveInYear
4,서초그랑자이 아파트의 입주년도는 언제야?,MATCH (n {name:’서초그랑자이'}) RETURN n.moveInYear
5,신반포4차 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포4차'}) RETURN n.moveInYear
6,반포리체 아파트의 입주년도는 언제야?,MATCH (n {name:’반포리체'}) RETURN n.moveInYear
7,래미안리더스원 아파트의 입주년도는 언제야?,MATCH (n {name:’래미안리더스원'}) RETURN n.moveInYear
8,삼풍 아파트의 입주년도는 언제야?,MATCH (n {name:’삼풍'}) RETURN n.moveInYear
9,반포주공1단지 아파트의 입주년도는 언제야?,MATCH (n {name:’반포주공1단지'}) RETURN n.moveInYear
10,반포미도1차 아파트의 입주년도는 언제야?,MATCH (n {name:’반포미도1차'}) RETURN n.moveInYear
11,서초힐스 아파트의 입주년도는 언제야?,MATCH (n {name:’서초힐스'}) RETURN n.moveInYear
12,서초래미안 아파트의 입주년도는 언제야?,MATCH (n {name:’서초래미안'}) RETURN n.moveInYear
13,서초더샵포레 아파트의 입주년도는 언제야?,MATCH (n {name:’서초더샵포레'}) RETURN n.moveInYear
14,서초포레스타2단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초포레스타2단지'}) RETURN n.moveInYear
15,서초네이처힐3단지 아파트의 입주년도는 언제야?,MATCH (n {name:’서초네이처힐3단지'}) RETURN n.moveInYear
16,래미안원베일리 아파트의 입주년도는 언제야?,MATCH (n {name:’래미안원베일리'}) RETURN n.moveInYear
17,반포래미안아이파크 아파트의 입주년도는 언제야?,MATCH (n {name:’반포래미안아이파크'}) RETURN n.moveInYear
18,반포센트럴자이 아파트의 입주년도는 언제야?,MATCH (n {name:’반포센트럴자이'}) RETURN n.moveInYear
19,동아 아파트의 입주년도는 언제야?,MATCH (n {name:’동아'}) RETURN n.moveInYear
20,서초푸르지오써밋 아파트의 입주년도는 언제야?,MATCH (n {name:’서초푸르지오써밋'}) RETURN n.moveInYear
21,방배그랑자이 아파트의 입주년도는 언제야?,MATCH (n {name:’방배그랑자이'}) RETURN n.moveInYear
22,반포써밋 아파트의 입주년도는 언제야?,MATCH (n {name:’반포써밋'}) RETURN n.moveInYear
23,아크로리버뷰신반포 아파트의 입주년도는 언제야?,MATCH (n {name:’아크로리버뷰신반포'}) RETURN n.moveInYear
24,롯데캐슬클래식 아파트의 입주년도는 언제야?,MATCH (n {name:’롯데캐슬클래식'}) RETURN n.moveInYear
25,아크로비스타 아파트의 입주년도는 언제야?,MATCH (n {name:’아크로비스타'}) RETURN n.moveInYear
26,신반포자이 아파트의 입주년도는 언제야?,MATCH (n {name:’신반포자이'}) RETURN n.moveInYear
27,디에이치라클라스 아파트의 입주년도는 언제야?,MATCH (n {name:’디에이치라클라스'}) RETURN n.moveInYear
28,유원서초 아파트의 입주년도는 언제야?,MATCH (n {name:’유원서초'}) RETURN n.moveInYear
29,래미안서초에스티지S 아파트의 입주년도는 언제야?,MATCH (n {name:’래미안서초에스티지S'}) RETURN n.moveInYear
30,신동아1차 아파트의 입주년도는 언제야?,MATCH (n {name:’신동아1차'}) RETURN n.moveInYear
31,양재우성 아파트의 입주년도는 언제야?,MATCH (n {name:’양재우성'}) RETURN n.moveInYear
32,잠원한신 아파트의 입주년도는 언제야?,MATCH (n {name:’잠원한신'}) RETURN n.moveInYear
33,서초호반써밋 아파트의 입주년도는 언제야?,MATCH (n {name:’서초호반써밋'}) RETURN n.moveInYear
34,래미안신반포팰리스 아파트의 입주년도는 언제야?,MATCH (n {name:’래미안신반포팰리스'}) RETURN n.moveInYear
35,방배롯데캐슬아르떼 아파트의 입주년도는 언제야?,MATCH (n {name:’방배롯데캐슬아르떼'}) RETURN n.moveInYear
36,방배현대홈타운1차 아파트의 입주년도는 언제야?,MATCH (n {name:’방배현대홈타운1차'}) RETURN n.moveInYear
37,진흥 아파트의 입주년도는 언제야?,MATCH (n {name:’진흥'}) RETURN n.moveInYear
38,방배래미안아트힐 아파트의 입주년도는 언제야?,MATCH (n {name:’방배래미안아트힐'}) RETURN n.moveInYear
39,현대슈퍼빌 아파트의 입주년도는 언제야?,MATCH (n {name:’현대슈퍼빌'}) RETURN n.moveInYear
